Strategy,Participant Id,NLL,mai_acc,mp_acc,pai_acc,Session,Tested w/ XAI,XAIType,sensitivity,k,retrieval_threshold,appId,scaling_factor,explanation_type
Importance categorization,67e490097896ae803bd5629f,0.63947317867781,0.6111111111111112,0.6666666666666666,0.6111111111111112,2,w/ XAI,importance,1.0,1,-4.0,forest_cover,,
Importance categorization,660b2346862ff2a3da9cfe3e,0.6546390036677261,0.5,0.3888888888888889,0.4444444444444444,2,w/ XAI,importance,23.044284229916418,2,-2.322145131516497,forest_cover,,
Importance categorization,6647847aebad277cab0e44a9,1.9154471461832538e-07,0.6666666666666666,1.0,0.6666666666666666,2,w/ XAI,importance,100.0,2,-3.6153389998122663,wine_quality,,
Importance categorization,67ebf19f98ff3e509e425e58,0.695653322097464,0.4444444444444444,0.5,0.8333333333333334,2,w/ XAI,importance,1.0,2,-2.574783296567131,wine_quality,,
Importance categorization,676a24c4766af0941f2060db,0.5206274810673734,0.6666666666666666,0.7777777777777778,0.6666666666666666,2,w/ XAI,importance,8.472724938170696,4,-3.259822812651306,wine_quality,,
Importance categorization,66d0a375c1c8aa9cac493997,0.6305445561485763,0.5,0.7222222222222222,0.6666666666666666,2,w/ XAI,importance,1.0,1,-3.2816191349604917,wine_quality,,
Importance categorization,67cf4b70e6b8ec5652552042,0.33780523195627454,0.5555555555555556,0.9444444444444444,0.6111111111111112,2,w/ XAI,importance,6.3225666098075886,1,-4.0,wine_quality,,
Importance categorization,67ebcd26fcd7c2ee469b8533,0.7087177700745122,0.2777777777777778,0.4444444444444444,0.7222222222222222,2,w/ XAI,importance,1.0,5,-3.005081924899867,wine_quality,,
Importance categorization,61705235c277934df17055e6,0.4238851194942825,0.6666666666666666,0.5555555555555556,0.6666666666666666,2,w/ XAI,importance,33.60749553116969,2,-2.4417008313040736,forest_cover,,
Importance categorization,677d8ca02a50ccdc47145568,0.6645144410139152,0.9444444444444444,0.6111111111111112,0.5555555555555556,2,w/ XAI,importance,2.091764587600097,5,-3.382202023901138,forest_cover,,
Importance categorization,66ea6bd034571ff4a00f2171,0.154033153269054,1.0,0.9444444444444444,0.9444444444444444,2,w/ XAI,importance,100.0,5,-3.614823180835014,forest_cover,,
Importance categorization,660982bb12941e7442c18325,0.39099438042290924,0.7777777777777778,0.8888888888888888,0.7777777777777778,2,w/ XAI,importance,3.580359573508826,1,-3.6822476755388043,forest_cover,,
Importance categorization,67e319a39b381704d5521583,0.5780449076238834,0.6111111111111112,0.7222222222222222,0.6666666666666666,2,w/ XAI,importance,2.3396591281105454,2,-3.7832062170067884,forest_cover,,
Importance categorization,67e6e99634be5e57bbd2553f,0.5652522063911618,0.7777777777777778,0.8333333333333334,0.7222222222222222,2,w/ XAI,importance,1.0,1,-3.9932297099739764,forest_cover,,
Importance categorization,664cd1c6545aa0f362493dd9,0.250760745596419,0.7777777777777778,0.8888888888888888,0.7777777777777778,2,w/ XAI,importance,11.632301765211576,2,-2.562447308635825,forest_cover,,
Importance categorization,67d3a5a498212eae9b9ce364,0.6318691381496909,0.9444444444444444,0.6666666666666666,0.6111111111111112,2,w/ XAI,importance,5.50191926204163,5,-4.0,forest_cover,,
Importance categorization,666149cb6a138209b157427b,0.4168997332705991,1.0,0.7222222222222222,0.7222222222222222,2,w/ XAI,importance,5.934717613243592,5,-3.697268239956595,forest_cover,,
Importance categorization,673ef080255f15b49aa84f96,0.30806541343775345,0.5555555555555556,0.7222222222222222,0.6111111111111112,2,w/ XAI,importance,100.0,5,-2.1942406861933295,forest_cover,,
Importance categorization,67f03733938aa3f0d17ce8a8,0.6920763648087148,0.9444444444444444,0.5555555555555556,0.5,2,w/ XAI,importance,1.0,5,-3.0759346052478382,forest_cover,,
Importance categorization,66817654ce8b233327b047ab,4.321963889362368e-05,0.6666666666666666,1.0,0.6666666666666666,2,w/ XAI,importance,100.0,1,-3.3398252066219083,wine_quality,,
