Strategy,Participant Id,NLL,mai_acc,mp_acc,pai_acc,Session,Tested w/ XAI,XAIType,sensitivity,k,retrieval_threshold,appId,scaling_factor,explanation_type
Salient-features categorization,6941984defc3cfda7e9cdf6f,0.26113811411637283,0.7777777777777778,0.8888888888888888,0.6666666666666666,1,w/o XAI,importance,36.85691619968005,2,-3.1822502220067146,wine_quality,,
Salient-features categorization,693b107113e251a972ba0527,0.6788216141030093,0.6111111111111112,0.4444444444444444,0.6111111111111112,1,w/o XAI,importance,1.0,2,-2.9743006473037097,forest_cover,,
Salient-features categorization,665b349013d3255859efdb72,0.6931471803599453,0.5,0.6111111111111112,0.5555555555555556,1,w/o XAI,importance,38.71692056648357,4,-1.7381347714093125,forest_cover,,
Salient-features categorization,6942e378d0c8a15ff6b1f81e,0.6597505179514634,0.6111111111111112,0.6111111111111112,0.5555555555555556,1,w/o XAI,importance,1.0,1,-3.511554065978796,forest_cover,,
Salient-features categorization,694163cd8dce97079e97bd07,0.24741077774009243,0.5555555555555556,0.9444444444444444,0.5,1,w/o XAI,importance,19.80452839000959,1,-3.40665876174408,wine_quality,,
Salient-features categorization,691f240b27630b7537a73d26,0.6391295458059107,0.8333333333333334,0.7222222222222222,0.5555555555555556,1,w/o XAI,importance,1.0,1,-3.101114283889679,wine_quality,,
Salient-features categorization,694afeb6123c5d3d77ab3f9b,0.6285882977760725,0.5555555555555556,0.6666666666666666,0.4444444444444444,1,w/o XAI,importance,1.0,4,-2.8265986575008935,forest_cover,,
Salient-features categorization,610c5b3dd64337b3324fa98e,0.35423146979129533,0.7777777777777778,0.8333333333333334,0.8333333333333334,1,w/o XAI,importance,18.081986264320093,1,-4.0,wine_quality,,
Salient-features categorization,673abfc29bf0f262315214c8,0.6931471803599453,0.5,0.3888888888888889,0.6666666666666666,1,w/o XAI,importance,54.218843794455125,3,-2.050566172634445,wine_quality,,
Salient-features categorization,69454de0266e20b4d6f6fbd9,0.544310800163084,0.7222222222222222,0.8333333333333334,0.7777777777777778,1,w/o XAI,importance,6.692742364595531,1,-3.6870939227267017,wine_quality,,
Salient-features categorization,6642c636936f64e56b10161f,0.7053392064684862,0.6111111111111112,0.5,0.4444444444444444,1,w/o XAI,importance,1.0,4,-2.457729279744636,wine_quality,,
Salient-features categorization,6947190be3c1dfbf23cdb205,0.343903382819093,0.6666666666666666,0.8333333333333334,0.5,1,w/o XAI,importance,5.73292036923311,1,-4.0,forest_cover,,
Salient-features categorization,693ade5aabf4dbfe8904b715,0.23568532953277302,0.6666666666666666,0.8888888888888888,0.6666666666666666,1,w/o XAI,importance,100.0,4,-2.572315410194824,forest_cover,,
Salient-features categorization,67c5e37e79cc91183c6cd3b3,0.5776226502832877,0.5555555555555556,0.6111111111111112,0.5,1,w/o XAI,importance,81.99382765143544,1,-1.6945283783941734,forest_cover,,
Salient-features categorization,6945d3294c8cf5eefa76293a,0.06346967627790372,0.7222222222222222,1.0,0.7222222222222222,1,w/o XAI,importance,64.98951716725132,4,-2.99876195245319,forest_cover,,
Salient-features categorization,6945952ed37c15496645a5ea,0.4915865764744993,0.7222222222222222,0.8888888888888888,0.7222222222222222,1,w/o XAI,importance,9.065311891285303,1,-3.2272107351686374,wine_quality,,
Salient-features categorization,6945b2bc841178ca14128632,0.36560009938362187,0.7777777777777778,0.8888888888888888,0.6666666666666666,1,w/o XAI,importance,12.007282995573068,1,-3.6233576820496696,wine_quality,,
